num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,sort
53,0.7818,0.7787,-0.0328,-0.0361,-0.0232,-0.0222,-0.0209,-0.0245,-0.0223,-0.0239,-0.0004,-0.0003,0.0013,0.0001,-0.0007,-0.0002,-0.0595,-0.0555,-0.057,-0.0546,-0.0538,-0.0561,-0.0015,-0.0001,0,0.0004,-0.0004,0.0002,0
54,0.7202,0.7175,-0.0336,-0.0306,-0.0175,-0.0204,-0.0172,-0.016,-0.0193,-0.0228,0.0006,0.0005,0.001,0.0006,-0.0007,0,-0.0492,-0.0514,-0.0496,-0.0452,-0.0504,-0.0474,0.0009,0.0001,-0.0001,0.001,-0.001,0.0006,0
55,0.6553,0.6514,-0.0283,-0.028,-0.0127,-0.0111,-0.0089,-0.0138,-0.0148,-0.0114,0.0003,-0.0004,-0.0003,0.001,0,-0.0001,-0.0443,-0.0413,-0.045,-0.0432,-0.0455,-0.0403,0,-0.0003,0,0.0018,-0.0008,-0.0004,0
56,0.5838,0.5778,-0.0241,-0.0258,-0.0065,-0.0084,-0.0074,-0.0081,-0.0091,-0.0077,0.0008,0.0006,0.0008,0,-0.0012,0,-0.0338,-0.0345,-0.0343,-0.0331,-0.0336,-0.0302,-0.0005,-0.0002,-0.0001,-0.0001,-0.0005,0.0011,0
57,0.501,0.4946,-0.0189,-0.015,-0.0028,-0.0045,-0.0011,-0.0031,-0.0042,-0.0048,0.0002,-0.0001,-0.0009,-0.0008,-0.0011,0.0007,-0.0276,-0.0219,-0.0272,-0.0248,-0.026,-0.0244,0.0001,-0.0011,-0.001,0.0007,0.0003,0.0005,0
58,0.4011,0.3941,-0.0101,-0.0063,0.0016,-0.0033,-0.0019,-0.001,-0.0019,-0.0032,-0.0001,0.0007,0.0003,-0.0002,-0.0015,0.0005,-0.0185,-0.0186,-0.0192,-0.0193,-0.0172,-0.0143,-0.002,-0.0007,-0.001,-0.0006,-0.0001,0.0011,0
59,0.2663,0.2559,0.0024,-0.0036,0.0026,0.003,0.0032,0.0041,0.0011,0.0031,-0.0003,0.0005,0.0007,-0.0008,-0.0011,0.0003,-0.0007,-0.0013,-0.0044,-0.0025,0.0012,0.0039,-0.0001,0.0004,-0.0008,0.0006,0.0005,0.0001,0
60,-0.1485,-0.1665,0.0316,0.0297,-0.0114,-0.008,-0.0107,-0.0103,-0.0121,-0.0081,-0.0014,0.0002,-0.0002,-0.0008,-0.0007,0.0004,0.0364,0.032,0.0369,0.0356,0.0365,0.0375,-0.0006,0.0001,0.0005,-0.0007,-0.0009,-0.0001,0
61,-0.3337,-0.3343,0.0397,0.0406,-0.0192,-0.0172,-0.018,-0.0216,-0.0195,-0.0169,-0.0002,0,-0.0013,0.0004,-0.0005,0.0002,0.0404,0.0392,0.0423,0.0424,0.04,0.0413,0.0002,0.0004,0.0003,-0.0005,-0.0001,0.0002,0
62,-0.3302,-0.3305,0.0397,0.0392,-0.0192,-0.016,-0.0188,-0.016,-0.0195,-0.0142,-0.0009,0.0004,-0.0006,-0.0007,-0.0009,0.0003,0.042,0.0415,0.0448,0.0402,0.0409,0.0437,-0.0007,0.0006,0.0005,-0.0001,-0.0003,-0.0003,0
63,-0.3921,-0.3993,0.0419,0.0407,-0.0249,-0.0215,-0.0263,-0.0242,-0.0273,-0.0219,-0.0017,0.0005,-0.0002,-0.0008,-0.0005,-0.0003,0.045,0.0483,0.0479,0.0477,0.048,0.0457,-0.0003,-0.0005,0.0005,-0.0008,-0.0002,0,0
64,-0.4813,-0.4864,0.0375,0.0399,-0.0294,-0.0308,-0.0288,-0.0327,-0.0305,-0.0281,-0.0005,0.0009,-0.0005,0,-0.0004,0,0.05,0.0485,0.0527,0.0512,0.0528,0.0507,-0.0001,-0.001,0.0005,-0.0004,-0.0008,0.0004,0
