num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,nothing1,nothing2,nothing3,nothing4,nothing5,nothing6,nothing7,nothing8,nothing9,nothing10,nothing11,nothing12,nothing13,nothing14,nothing15,nothing16,nothing17,state,target
36179,0.5234,0.2712,0.4783,-0.6875,-0.5491,-0.5178,3.6335,3.6251,3.6565,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
36762,0.4648,0.3493,0.5369,-0.6289,-0.471,-0.4787,3.5993,3.6116,3.655,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
36763,0.4648,0.3493,0.5369,-0.6289,-0.471,-0.4787,3.611,3.6099,3.6823,0.0184,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
37346,0.4258,0.5837,0.3806,-0.7461,-0.51,-0.4983,3.611,3.6099,3.6823,0.0184,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
37929,0.543,0.5056,0.3221,-0.6094,-0.4905,-0.4397,3.6178,3.6301,3.7309,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
37930,0.543,0.5056,0.3221,-0.6094,-0.4905,-0.4397,3.6178,3.6207,3.714,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
38513,0.5234,0.5837,0.4588,-0.6485,-0.6858,-0.5959,3.6444,3.6207,3.714,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
39096,0.4648,0.5642,0.4978,-0.668,-0.3929,-0.5569,3.6282,3.5947,3.6699,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
39097,0.4648,0.5642,0.4978,-0.668,-0.3929,-0.5569,3.6282,3.5947,3.6726,0.0186,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
39680,0.3476,0.5446,0.4783,-0.7266,-0.6663,-0.5373,3.6116,3.6165,3.6726,0.0186,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
40263,0.3867,0.5642,0.3611,-0.5899,-0.5296,-0.5764,3.6355,3.6247,3.6434,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
40264,0.3867,0.5642,0.3611,-0.5899,-0.5296,-0.5764,3.6355,3.6247,3.6434,0.0181,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
40847,0.4453,0.5837,0.5955,-0.6875,-0.6077,-0.4592,3.6415,3.6151,3.7042,0.0181,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
41431,0.543,0.6032,0.5369,-0.5899,-0.3733,-0.4983,3.6484,3.6094,3.7037,0.0185,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
42014,0.4648,0.5446,0.4783,-0.7852,-0.3538,-0.4983,3.6297,3.6217,3.6806,0.0181,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
42598,0.4062,0.4665,0.5174,-0.6875,-0.6858,-0.6154,3.623,3.6123,3.6814,0.0181,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
43181,0.3867,0.486,0.5564,-0.6289,-0.6077,-0.4592,3.6244,3.6279,3.681,0.0186,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
43765,0.4844,0.4665,0.5369,-0.707,-0.6077,-0.4787,3.6409,3.6417,3.6495,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
